timestamp,consumo_kwh,produzione_kwh,autoconsumo_kwh,immissione_rete_kwh,prelievo_rete_kwh
2026-07-01 00:00:00,1.69,0.0,0.0,0.0,1.69
2026-07-01 01:00:00,1.44,0.0,0.0,0.0,1.44
2026-07-01 02:00:00,1.81,0.0,0.0,0.0,1.81
2026-07-01 03:00:00,1.41,0.0,0.0,0.0,1.41
2026-07-01 04:00:00,1.6,0.0,0.0,0.0,1.6
2026-07-01 05:00:00,1.76,0.0,0.0,0.0,1.76
2026-07-01 06:00:00,1.42,0.0,0.0,0.0,1.42
2026-07-01 07:00:00,1.47,0.0,0.0,0.0,1.47
2026-07-01 08:00:00,11.81,0.66,0.66,0.0,11.15
2026-07-01 09:00:00,10.7,1.98,1.98,0.0,8.72
2026-07-01 10:00:00,11.83,4.33,4.33,0.0,7.5
2026-07-01 11:00:00,12.01,5.33,5.33,0.0,6.68
2026-07-01 12:00:00,11.42,5.82,5.82,0.0,5.6
2026-07-01 13:00:00,12.07,6.0,6.0,0.0,6.07
2026-07-01 14:00:00,12.55,5.65,5.65,0.0,6.9
2026-07-01 15:00:00,10.75,4.99,4.99,0.0,5.76
2026-07-01 16:00:00,11.87,0.57,0.57,0.0,11.3
2026-07-01 17:00:00,10.47,2.98,2.98,0.0,7.49
2026-07-01 18:00:00,11.67,0.16,0.16,0.0,11.51
2026-07-01 19:00:00,1.56,0.0,0.0,0.0,1.56
2026-07-01 20:00:00,1.72,0.0,0.0,0.0,1.72
2026-07-01 21:00:00,1.53,0.0,0.0,0.0,1.53
2026-07-01 22:00:00,1.77,0.0,0.0,0.0,1.77
2026-07-01 23:00:00,1.64,0.0,0.0,0.0,1.64
2026-07-02 00:00:00,1.31,0.0,0.0,0.0,1.31
2026-07-02 01:00:00,1.58,0.0,0.0,0.0,1.58
2026-07-02 02:00:00,1.45,0.0,0.0,0.0,1.45
2026-07-02 03:00:00,1.55,0.0,0.0,0.0,1.55
2026-07-02 04:00:00,1.73,0.0,0.0,0.0,1.73
2026-07-02 05:00:00,1.84,0.0,0.0,0.0,1.84
2026-07-02 06:00:00,1.37,0.0,0.0,0.0,1.37
2026-07-02 07:00:00,1.24,0.0,0.0,0.0,1.24
2026-07-02 08:00:00,10.39,0.85,0.85,0.0,9.54
2026-07-02 09:00:00,10.26,2.84,2.84,0.0,7.42
2026-07-02 10:00:00,10.47,4.12,4.12,0.0,6.35
2026-07-02 11:00:00,10.75,5.02,5.02,0.0,5.73
2026-07-02 12:00:00,11.19,0.89,0.89,0.0,10.3
2026-07-02 13:00:00,11.78,6.04,6.04,0.0,5.74
2026-07-02 14:00:00,11.87,3.47,3.47,0.0,8.4
2026-07-02 15:00:00,11.08,5.41,5.41,0.0,5.67
2026-07-02 16:00:00,10.71,4.36,4.36,0.0,6.35
2026-07-02 17:00:00,10.32,1.76,1.76,0.0,8.56
2026-07-02 18:00:00,11.83,1.36,1.36,0.0,10.47
2026-07-02 19:00:00,1.53,0.06,0.06,0.0,1.47
2026-07-02 20:00:00,1.41,0.0,0.0,0.0,1.41
2026-07-02 21:00:00,1.49,0.0,0.0,0.0,1.49
2026-07-02 22:00:00,1.63,0.0,0.0,0.0,1.63
2026-07-02 23:00:00,1.62,0.0,0.0,0.0,1.62
2026-07-03 00:00:00,1.44,0.0,0.0,0.0,1.44
2026-07-03 01:00:00,1.86,0.0,0.0,0.0,1.86
2026-07-03 02:00:00,1.71,0.0,0.0,0.0,1.71
2026-07-03 03:00:00,1.76,0.0,0.0,0.0,1.76
2026-07-03 04:00:00,1.67,0.0,0.0,0.0,1.67
2026-07-03 05:00:00,1.72,0.0,0.0,0.0,1.72
2026-07-03 06:00:00,1.59,0.0,0.0,0.0,1.59
2026-07-03 07:00:00,1.53,0.12,0.12,0.0,1.41
2026-07-03 08:00:00,10.04,1.67,1.67,0.0,8.37
2026-07-03 09:00:00,10.61,0.32,0.32,0.0,10.29
2026-07-03 10:00:00,12.0,2.59,2.59,0.0,9.41
2026-07-03 11:00:00,11.47,3.27,3.27,0.0,8.2
2026-07-03 12:00:00,9.52,3.48,3.48,0.0,6.04
2026-07-03 13:00:00,11.78,3.79,3.79,0.0,7.99
2026-07-03 14:00:00,10.18,5.82,5.82,0.0,4.36
2026-07-03 15:00:00,10.29,5.14,5.14,0.0,5.15
2026-07-03 16:00:00,11.11,0.59,0.59,0.0,10.52
2026-07-03 17:00:00,11.19,1.78,1.78,0.0,9.41
2026-07-03 18:00:00,11.27,1.59,1.59,0.0,9.68
2026-07-03 19:00:00,1.55,0.0,0.0,0.0,1.55
2026-07-03 20:00:00,1.48,0.0,0.0,0.0,1.48
2026-07-03 21:00:00,1.55,0.0,0.0,0.0,1.55
2026-07-03 22:00:00,1.52,0.0,0.0,0.0,1.52
2026-07-03 23:00:00,1.75,0.0,0.0,0.0,1.75
2026-07-04 00:00:00,1.51,0.0,0.0,0.0,1.51
2026-07-04 01:00:00,1.48,0.0,0.0,0.0,1.48
2026-07-04 02:00:00,1.62,0.0,0.0,0.0,1.62
2026-07-04 03:00:00,1.2,0.0,0.0,0.0,1.2
2026-07-04 04:00:00,1.21,0.0,0.0,0.0,1.21
2026-07-04 05:00:00,1.43,0.0,0.0,0.0,1.43
2026-07-04 06:00:00,1.47,0.0,0.0,0.0,1.47
2026-07-04 07:00:00,1.42,0.03,0.03,0.0,1.39
2026-07-04 08:00:00,1.35,1.03,1.03,0.0,0.32
2026-07-04 09:00:00,1.63,1.98,1.63,0.35,0.0
2026-07-04 10:00:00,1.49,4.12,1.49,2.63,0.0
2026-07-04 11:00:00,1.54,3.1,1.54,1.56,0.0
2026-07-04 12:00:00,1.47,3.6,1.47,2.13,0.0
2026-07-04 13:00:00,1.24,0.87,0.87,0.0,0.37
2026-07-04 14:00:00,1.39,3.41,1.39,2.02,0.0
2026-07-04 15:00:00,1.16,2.91,1.16,1.75,0.0
2026-07-04 16:00:00,1.51,0.61,0.61,0.0,0.9
2026-07-04 17:00:00,1.37,0.59,0.59,0.0,0.78
2026-07-04 18:00:00,1.2,1.71,1.2,0.51,0.0
2026-07-04 19:00:00,1.49,0.02,0.02,0.0,1.47
2026-07-04 20:00:00,1.45,0.0,0.0,0.0,1.45
2026-07-04 21:00:00,1.7,0.0,0.0,0.0,1.7
2026-07-04 22:00:00,1.47,0.0,0.0,0.0,1.47
2026-07-04 23:00:00,1.51,0.0,0.0,0.0,1.51
2026-07-05 00:00:00,1.43,0.0,0.0,0.0,1.43
2026-07-05 01:00:00,1.42,0.0,0.0,0.0,1.42
2026-07-05 02:00:00,1.52,0.0,0.0,0.0,1.52
2026-07-05 03:00:00,1.45,0.0,0.0,0.0,1.45
2026-07-05 04:00:00,1.48,0.0,0.0,0.0,1.48
